schema_version,plan_row_id,pair_group_id,slot_index,slot_role,planned_physical_cause,planned_intervention_type,repeat_slot,benchmark_target,episode_id,collection_status,intervention_applied,intervention_parameter_json,operator_notes
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g01_s01,rcv2_g01,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g01_s02,rcv2_g01,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g01_s03,rcv2_g01,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g01_s04,rcv2_g01,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g01_s05,rcv2_g01,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g01_s06,rcv2_g01,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g02_s01,rcv2_g02,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g02_s02,rcv2_g02,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g02_s03,rcv2_g02,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g02_s04,rcv2_g02,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g02_s05,rcv2_g02,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g02_s06,rcv2_g02,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g03_s01,rcv2_g03,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g03_s02,rcv2_g03,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g03_s03,rcv2_g03,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g03_s04,rcv2_g03,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g03_s05,rcv2_g03,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g03_s06,rcv2_g03,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g04_s01,rcv2_g04,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g04_s02,rcv2_g04,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g04_s03,rcv2_g04,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g04_s04,rcv2_g04,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g04_s05,rcv2_g04,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g04_s06,rcv2_g04,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g05_s01,rcv2_g05,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g05_s02,rcv2_g05,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g05_s03,rcv2_g05,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g05_s04,rcv2_g05,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g05_s05,rcv2_g05,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g05_s06,rcv2_g05,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g06_s01,rcv2_g06,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g06_s02,rcv2_g06,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g06_s03,rcv2_g06,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g06_s04,rcv2_g06,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g06_s05,rcv2_g06,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g06_s06,rcv2_g06,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g07_s01,rcv2_g07,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g07_s02,rcv2_g07,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g07_s03,rcv2_g07,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g07_s04,rcv2_g07,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g07_s05,rcv2_g07,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g07_s06,rcv2_g07,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g08_s01,rcv2_g08,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g08_s02,rcv2_g08,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g08_s03,rcv2_g08,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g08_s04,rcv2_g08,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g08_s05,rcv2_g08,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g08_s06,rcv2_g08,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g09_s01,rcv2_g09,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g09_s02,rcv2_g09,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g09_s03,rcv2_g09,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g09_s04,rcv2_g09,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g09_s05,rcv2_g09,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g09_s06,rcv2_g09,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g10_s01,rcv2_g10,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g10_s02,rcv2_g10,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g10_s03,rcv2_g10,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g10_s04,rcv2_g10,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g10_s05,rcv2_g10,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g10_s06,rcv2_g10,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g11_s01,rcv2_g11,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g11_s02,rcv2_g11,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g11_s03,rcv2_g11,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g11_s04,rcv2_g11,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g11_s05,rcv2_g11,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g11_s06,rcv2_g11,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g12_s01,rcv2_g12,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g12_s02,rcv2_g12,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g12_s03,rcv2_g12,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g12_s04,rcv2_g12,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g12_s05,rcv2_g12,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g12_s06,rcv2_g12,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g13_s01,rcv2_g13,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g13_s02,rcv2_g13,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g13_s03,rcv2_g13,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g13_s04,rcv2_g13,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g13_s05,rcv2_g13,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g13_s06,rcv2_g13,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g14_s01,rcv2_g14,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g14_s02,rcv2_g14,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g14_s03,rcv2_g14,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g14_s04,rcv2_g14,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g14_s05,rcv2_g14,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g14_s06,rcv2_g14,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g15_s01,rcv2_g15,1,clean_control,none_clean,none,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g15_s02,rcv2_g15,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g15_s03,rcv2_g15,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g15_s04,rcv2_g15,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,False,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g15_s05,rcv2_g15,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,True,final_v2,,pending,,,
evidencemm_day22_root_cause_collection_plan_v1,rcv2_g15_s06,rcv2_g15,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,False,final_v2,,pending,,,
