schema_version,pilot_row_id,pilot_group_id,sequence_order,intensity_rank,intensity_label,pilot_role,planned_physical_cause,planned_intervention_type,episode_id,raw_episode_relpath,recorder_overall_pass,failed_checks,task_success,intervention_predeclared,intervention_applied,single_primary_intervention,parameter_direction,parameter_value,parameter_unit,changed_factor_observable,observable_modalities,gripper_transition_verified_as_grasp_close,safety_abort,hardware_fault,operator_notes
evidencemm_day23_pilot_record_v1,p23_g01_clean,p23_g01,1,0,control,clean_control,none_clean,none,20260822_195505,20260822_195505,true,,true,false,false,true,,,,true,front;wrist;action,,false,false,G01 clean基准样本，无干预
evidencemm_day23_pilot_record_v1,p23_g01_target,p23_g01,2,1,mild,controlled_cause,target_offset_or_perception,object_target_pose_offset,20260822_201544,20260822_201544,true,,false,true,true,true,follower_forward,20,mm,true,front;wrist,,false,false,G01方块位置偏移；方块沿Follower正前方移动2cm；机械臂仍执行nominal抓取位置，未追踪偏移方块；任务失败
evidencemm_day23_pilot_record_v1,p23_g01_gripper,p23_g01,3,1,mild,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,20260822_210402,20260822_210402,true,,true,true,true,true,late,,,true,front;wrist;action,true,false,false,G01夹爪时序偏移；方块保持nominal位置，空间轨迹保持正常；到达正常抓取位置后约等待2秒再闭合夹爪；任务成功
evidencemm_day23_pilot_record_v1,p23_g01_trajectory,p23_g01,4,1,mild,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,20260823_112555,20260823_112555,true,,false,true,true,true,follower_forward,25,mm,true,front;wrist;action;tracking_error,,false,false,G01轨迹偏移；方块保持nominal位置；正常接近至方块正上方后，末端沿Follower正前方向偏移约25mm并保持偏移下降；夹爪按正常时序闭合；未能抓取方块，任务失败
evidencemm_day23_pilot_record_v1,p23_g02_clean,p23_g02,5,0,control,clean_control,none_clean,none,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g02_target,p23_g02,6,2,medium,controlled_cause,target_offset_or_perception,object_target_pose_offset,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g02_gripper,p23_g02,7,2,medium,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g02_trajectory,p23_g02,8,2,medium,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g03_clean,p23_g03,9,0,control,clean_control,none_clean,none,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g03_target,p23_g03,10,3,strongest_safe,controlled_cause,target_offset_or_perception,object_target_pose_offset,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g03_gripper,p23_g03,11,3,strongest_safe,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,,,,,,,,,,,,,,,,,
evidencemm_day23_pilot_record_v1,p23_g03_trajectory,p23_g03,12,3,strongest_safe,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,,,,,,,,,,,,,,,,,
