plan_row_id,pair_group_id,episode_id,task_success,technical_valid,duration_seconds,max_tracking_error,recorder_script_version
rcv2_g01_s01,rcv2_g01,20260823_163223,True,True,59.930977,10.4527,episode_recorder_v7
rcv2_g01_s02,rcv2_g01,20260823_163557,False,True,59.935241,10.6621,episode_recorder_v7
rcv2_g01_s05,rcv2_g01,20260823_163843,False,True,59.933103,11.2348,episode_recorder_v7
rcv2_g02_s01,rcv2_g02,20260823_164637,True,True,59.938741,10.6581,episode_recorder_v7
rcv2_g02_s02,rcv2_g02,20260823_165454,False,True,59.933638,10.2891,episode_recorder_v7
rcv2_g03_s01,rcv2_g03,20260823_171354,True,True,59.936197,9.2776,episode_recorder_v7
rcv2_g03_s02,rcv2_g03,20260823_171616,False,True,59.933603,10.6615,episode_recorder_v7
rcv2_g04_s01,rcv2_g04,20260823_172235,True,True,59.935127,9.3254,episode_recorder_v7
rcv2_g04_s02,rcv2_g04,20260823_172518,False,True,59.933787,9.9412,episode_recorder_v7
rcv2_g04_s05,rcv2_g04,20260823_173422,False,True,59.934397,9.7201,episode_recorder_v7
rcv2_g05_s01,rcv2_g05,20260823_174955,True,True,59.93275,9.7039,episode_recorder_v7
rcv2_g05_s02,rcv2_g05,20260823_175237,False,True,59.933159,10.1736,episode_recorder_v7
rcv2_g06_s01,rcv2_g06,20260823_175817,True,True,59.936707,9.7653,episode_recorder_v7
rcv2_g06_s02,rcv2_g06,20260823_180125,False,True,59.936066,9.9206,episode_recorder_v7
rcv2_g07_s01,rcv2_g07,20260823_193023,True,True,59.933773,9.949,episode_recorder_v7
rcv2_g07_s02,rcv2_g07,20260823_193258,False,True,59.934295,11.1468,episode_recorder_v7
rcv2_g07_s05,rcv2_g07,20260823_193517,False,True,59.934395,10.461,episode_recorder_v7
rcv2_g08_s01,rcv2_g08,20260823_195142,True,True,59.932274,10.1057,episode_recorder_v7
rcv2_g08_s02,rcv2_g08,20260823_195807,False,True,59.933223,9.5479,episode_recorder_v7
rcv2_g09_s01,rcv2_g09,20260823_200430,True,True,59.934827,10.833,episode_recorder_v7
rcv2_g09_s02,rcv2_g09,20260823_200913,False,True,59.933482,10.8061,episode_recorder_v7
rcv2_g10_s01,rcv2_g10,20260823_201357,True,True,59.935584,10.7727,episode_recorder_v7
rcv2_g10_s02,rcv2_g10,20260823_201622,False,True,59.934257,10.2523,episode_recorder_v7
rcv2_g10_s05,rcv2_g10,20260823_202206,False,True,59.938126,10.6048,episode_recorder_v7
rcv2_g11_s01,rcv2_g11,20260823_202726,True,True,59.934948,10.738,episode_recorder_v7
rcv2_g11_s02,rcv2_g11,20260823_203003,False,True,59.934104,10.7473,episode_recorder_v7
rcv2_g12_s01,rcv2_g12,20260823_204919,True,True,59.934322,10.4034,episode_recorder_v7
rcv2_g12_s02,rcv2_g12,20260823_205139,False,True,59.934648,9.7331,episode_recorder_v7
rcv2_g13_s01,rcv2_g13,20260823_205550,True,True,59.931178,9.7371,episode_recorder_v7
rcv2_g13_s02,rcv2_g13,20260823_205808,False,True,59.932646,9.8803,episode_recorder_v7
rcv2_g13_s05,rcv2_g13,20260823_210152,False,True,59.936662,9.9071,episode_recorder_v7
rcv2_g14_s01,rcv2_g14,20260823_211411,True,True,59.932254,10.7762,episode_recorder_v7
rcv2_g14_s02,rcv2_g14,20260823_211641,False,True,59.935063,10.063,episode_recorder_v7
rcv2_g15_s01,rcv2_g15,20260823_212056,True,True,59.934148,9.4198,episode_recorder_v7
rcv2_g15_s02,rcv2_g15,20260823_212501,False,True,59.937387,9.9926,episode_recorder_v7
