schema_version,day24_sequence,plan_row_id,pair_group_id,day22_slot_index,slot_role,planned_physical_cause,planned_intervention_type,repeat_slot,expected_task_outcome,parameter_direction,parameter_value,parameter_unit,collection_status
evidencemm_day24_target_collection_plan_v1,1,rcv2_g01_s01,rcv2_g01,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,2,rcv2_g01_s02,rcv2_g01,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,3,rcv2_g01_s05,rcv2_g01,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,true,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,4,rcv2_g02_s01,rcv2_g02,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,5,rcv2_g02_s02,rcv2_g02,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,6,rcv2_g03_s01,rcv2_g03,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,7,rcv2_g03_s02,rcv2_g03,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,8,rcv2_g04_s01,rcv2_g04,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,9,rcv2_g04_s02,rcv2_g04,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,10,rcv2_g04_s05,rcv2_g04,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,true,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,11,rcv2_g05_s01,rcv2_g05,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,12,rcv2_g05_s02,rcv2_g05,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,13,rcv2_g06_s01,rcv2_g06,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,14,rcv2_g06_s02,rcv2_g06,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,15,rcv2_g07_s01,rcv2_g07,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,16,rcv2_g07_s02,rcv2_g07,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,17,rcv2_g07_s05,rcv2_g07,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,true,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,18,rcv2_g08_s01,rcv2_g08,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,19,rcv2_g08_s02,rcv2_g08,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,20,rcv2_g09_s01,rcv2_g09,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,21,rcv2_g09_s02,rcv2_g09,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,22,rcv2_g10_s01,rcv2_g10,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,23,rcv2_g10_s02,rcv2_g10,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,24,rcv2_g10_s05,rcv2_g10,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,true,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,25,rcv2_g11_s01,rcv2_g11,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,26,rcv2_g11_s02,rcv2_g11,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,27,rcv2_g12_s01,rcv2_g12,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,28,rcv2_g12_s02,rcv2_g12,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,29,rcv2_g13_s01,rcv2_g13,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,30,rcv2_g13_s02,rcv2_g13,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,31,rcv2_g13_s05,rcv2_g13,5,controlled_cause,target_offset_or_perception,object_target_pose_offset,true,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,32,rcv2_g14_s01,rcv2_g14,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,33,rcv2_g14_s02,rcv2_g14,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
evidencemm_day24_target_collection_plan_v1,34,rcv2_g15_s01,rcv2_g15,1,clean_control,none_clean,none,false,success,,,,pending
evidencemm_day24_target_collection_plan_v1,35,rcv2_g15_s02,rcv2_g15,2,controlled_cause,target_offset_or_perception,object_target_pose_offset,false,failure,follower_forward,40,mm,pending
