schema_version,plan_row_id,pair_group_id,attempt_index,episode_id,raw_episode_relpath,recorder_script_version,technical_valid,recorder_overall_pass,failed_checks,task_success,intervention_applied,single_primary_intervention,changed_factor_observable,parameter_direction,parameter_value,parameter_unit,scene_setup_id,object_identity,nominal_start_condition,camera_setup,acquisition_configuration,safety_abort,hardware_fault,experimental_valid,selected_canonical,exclusion_reason,operator_notes
evidencemm_day24_target_collection_record_v1,rcv2_g01_s01,rcv2_g01,1,20260823_163223,20260823_163223,episode_recorder_v7,true,true,,true,false,true,true,,,,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G01 matched clean；方块位于nominal标记框；正常抓取并成功放入目标区
evidencemm_day24_target_collection_record_v1,rcv2_g01_s02,rcv2_g01,1,20260823_163557,20260823_163557,episode_recorder_v7,true,true,,false,true,true,true,follower_forward,40,mm,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G01 target；方块沿Follower正前方移动40mm；机械臂仍执行nominal抓取位置；未追踪或补偿；未抓到方块，任务失败
evidencemm_day24_target_collection_record_v1,rcv2_g01_s05,rcv2_g01,1,20260823_163843,20260823_163843,episode_recorder_v7,true,true,,false,true,true,true,follower_forward,40,mm,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G01 target repeat；方块沿Follower正前方移动40mm；机械臂仍执行nominal抓取位置；未追踪或补偿；未抓到方块，任务失败
evidencemm_day24_target_collection_record_v1,rcv2_g02_s01,rcv2_g02,1,20260823_164637,20260823_164637,episode_recorder_v7,true,true,,true,false,true,true,,,,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G02 matched clean；方块位于nominal标记框；正常抓取并成功放入目标区
evidencemm_day24_target_collection_record_v1,rcv2_g02_s02,rcv2_g02,1,20260823_165454,20260823_165454,episode_recorder_v7,true,true,,false,true,true,true,follower_forward,40,mm,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G02 target；方块沿Follower正前方移动40mm；机械臂仍执行nominal抓取位置；未追踪或补偿；未抓到方块，任务失败
evidencemm_day24_target_collection_record_v1,rcv2_g03_s01,rcv2_g03,1,20260823_171354,20260823_171354,episode_recorder_v7,true,true,,true,false,true,true,,,,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G03 matched clean；方块位于nominal标记框；正常抓取并成功放入目标区
evidencemm_day24_target_collection_record_v1,rcv2_g03_s02,rcv2_g03,1,20260823_171616,20260823_171616,episode_recorder_v7,true,true,,false,true,true,true,follower_forward,40,mm,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G03 target；方块沿Follower正前方移动40mm；机械臂仍执行nominal抓取位置；未追踪或补偿；任务失败
evidencemm_day24_target_collection_record_v1,rcv2_g04_s01,rcv2_g04,1,20260823_172235,20260823_172235,episode_recorder_v7,true,true,,true,false,true,true,,,,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G04 matched clean；方块位于nominal标记框；正常抓取并成功放入目标区
evidencemm_day24_target_collection_record_v1,rcv2_g04_s02,rcv2_g04,1,20260823_172518,20260823_172518,episode_recorder_v7,true,true,,false,true,true,true,follower_forward,40,mm,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G04 target；方块沿Follower正前方移动40mm；机械臂仍执行nominal抓取位置；未追踪或补偿；任务失败
evidencemm_day24_target_collection_record_v1,rcv2_g04_s05,rcv2_g04,1,20260823_173422,20260823_173422,episode_recorder_v7,true,true,,false,true,true,true,follower_forward,40,mm,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G04 target repeat；方块沿Follower正前方移动40mm；机械臂仍执行nominal抓取位置；未追踪或补偿；任务失败
