plan_row_id,pair_group_id,episode_id,task_success,technical_valid,duration_seconds,max_tracking_error,recorder_script_version
rcv2_g01_s03,rcv2_g01,20260823_215408,False,True,59.934144,9.7388,episode_recorder_v7
rcv2_g02_s03,rcv2_g02,20260823_220059,False,True,59.934595,10.2484,episode_recorder_v7
rcv2_g03_s03,rcv2_g03,20260824_101759,False,True,59.930857,10.3392,episode_recorder_v7
rcv2_g04_s03,rcv2_g04,20260824_103601,False,True,59.934728,10.7941,episode_recorder_v7
rcv2_g05_s03,rcv2_g05,20260824_104110,False,True,59.934093,10.3664,episode_recorder_v7
rcv2_g05_s05,rcv2_g05,20260824_104319,False,True,59.934185,10.2622,episode_recorder_v7
rcv2_g06_s03,rcv2_g06,20260824_104722,False,True,59.931627,9.3482,episode_recorder_v7
rcv2_g07_s03,rcv2_g07,20260824_110557,False,True,59.933304,11.2348,episode_recorder_v7
rcv2_g08_s03,rcv2_g08,20260824_111112,False,True,59.933005,9.8259,episode_recorder_v7
rcv2_g08_s05,rcv2_g08,20260824_111315,False,True,59.930538,9.7688,episode_recorder_v7
rcv2_g09_s03,rcv2_g09,20260824_111655,False,True,59.935534,10.8336,episode_recorder_v7
rcv2_g10_s03,rcv2_g10,20260824_113016,False,True,59.933769,9.8852,episode_recorder_v7
rcv2_g11_s03,rcv2_g11,20260824_150526,False,True,59.935327,9.8837,episode_recorder_v7
rcv2_g11_s05,rcv2_g11,20260824_150810,False,True,59.935277,10.5923,episode_recorder_v7
rcv2_g12_s03,rcv2_g12,20260824_151235,False,True,59.93385,9.4894,episode_recorder_v7
rcv2_g13_s03,rcv2_g13,20260824_152217,False,True,59.934787,9.1466,episode_recorder_v7
rcv2_g14_s03,rcv2_g14,20260824_152701,False,True,59.934398,9.7293,episode_recorder_v7
rcv2_g14_s05,rcv2_g14,20260824_153036,False,True,59.932873,10.3432,episode_recorder_v7
rcv2_g15_s03,rcv2_g15,20260824_153650,False,True,59.93476,8.9875,episode_recorder_v7
rcv2_g02_s05,rcv2_g02,20260824_153858,False,True,59.934851,9.2358,episode_recorder_v7
