schema_version,day25_sequence,plan_row_id,pair_group_id,day22_slot_index,slot_role,planned_physical_cause,planned_intervention_type,repeat_slot,expected_task_outcome,parameter_direction,parameter_min,parameter_max,parameter_unit,operational_measurement,clean_anchor_plan_row_id,collection_status
evidencemm_day25_gripper_collection_plan_v1,1,rcv2_g01_s03,rcv2_g01,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g01_s01,pending
evidencemm_day25_gripper_collection_plan_v1,2,rcv2_g02_s03,rcv2_g02,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g02_s01,pending
evidencemm_day25_gripper_collection_plan_v1,3,rcv2_g02_s05,rcv2_g02,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,true,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g02_s01,pending
evidencemm_day25_gripper_collection_plan_v1,4,rcv2_g03_s03,rcv2_g03,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g03_s01,pending
evidencemm_day25_gripper_collection_plan_v1,5,rcv2_g04_s03,rcv2_g04,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g04_s01,pending
evidencemm_day25_gripper_collection_plan_v1,6,rcv2_g05_s03,rcv2_g05,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g05_s01,pending
evidencemm_day25_gripper_collection_plan_v1,7,rcv2_g05_s05,rcv2_g05,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,true,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g05_s01,pending
evidencemm_day25_gripper_collection_plan_v1,8,rcv2_g06_s03,rcv2_g06,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g06_s01,pending
evidencemm_day25_gripper_collection_plan_v1,9,rcv2_g07_s03,rcv2_g07,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g07_s01,pending
evidencemm_day25_gripper_collection_plan_v1,10,rcv2_g08_s03,rcv2_g08,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g08_s01,pending
evidencemm_day25_gripper_collection_plan_v1,11,rcv2_g08_s05,rcv2_g08,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,true,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g08_s01,pending
evidencemm_day25_gripper_collection_plan_v1,12,rcv2_g09_s03,rcv2_g09,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g09_s01,pending
evidencemm_day25_gripper_collection_plan_v1,13,rcv2_g10_s03,rcv2_g10,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g10_s01,pending
evidencemm_day25_gripper_collection_plan_v1,14,rcv2_g11_s03,rcv2_g11,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g11_s01,pending
evidencemm_day25_gripper_collection_plan_v1,15,rcv2_g11_s05,rcv2_g11,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,true,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g11_s01,pending
evidencemm_day25_gripper_collection_plan_v1,16,rcv2_g12_s03,rcv2_g12,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g12_s01,pending
evidencemm_day25_gripper_collection_plan_v1,17,rcv2_g13_s03,rcv2_g13,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g13_s01,pending
evidencemm_day25_gripper_collection_plan_v1,18,rcv2_g14_s03,rcv2_g14,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g14_s01,pending
evidencemm_day25_gripper_collection_plan_v1,19,rcv2_g14_s05,rcv2_g14,5,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,true,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g14_s01,pending
evidencemm_day25_gripper_collection_plan_v1,20,rcv2_g15_s03,rcv2_g15,3,controlled_cause,gripper_close_timing,manual_gripper_close_timing_shift,false,failure,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,rcv2_g15_s01,pending
