schema_version,plan_row_id,pair_group_id,attempt_index,episode_id,raw_episode_relpath,recorder_script_version,technical_valid,recorder_overall_pass,failed_checks,task_success,intervention_applied,single_primary_intervention,changed_factor_observable,phase_proxy_met,parameter_direction,parameter_min,parameter_max,parameter_unit,operational_measurement,scene_setup_id,object_identity,nominal_start_condition,camera_setup,acquisition_configuration,safety_abort,hardware_fault,experimental_valid,selected_canonical,exclusion_reason,operator_notes
evidencemm_day25_gripper_collection_record_v1,rcv2_g01_s03,rcv2_g01,1,20260823_215408,20260823_215408,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,late gripper close after nominal close phase; task failed
evidencemm_day25_gripper_collection_record_v1,rcv2_g02_s03,rcv2_g02,1,20260823_220059,20260823_220059,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,"G02 late gripper close; nominal grasp position reached, gripper remained open during upward progress about 30-40mm, then closed; task failed"
evidencemm_day25_gripper_collection_record_v1,rcv2_g03_s03,rcv2_g03,1,20260824_101759,20260824_101759,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G03 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升方向继续约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g04_s03,rcv2_g04,1,20260824_103601,20260824_103601,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G04 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升方向继续约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g05_s03,rcv2_g05,1,20260824_104110,20260824_104110,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G05 gripper primary；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g05_s05,rcv2_g05,1,20260824_104319,20260824_104319,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G05 gripper repeat；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g06_s03,rcv2_g06,1,20260824_104722,20260824_104722,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G06 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g07_s03,rcv2_g07,1,20260824_110557,20260824_110557,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G07 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g08_s03,rcv2_g08,1,20260824_111112,20260824_111112,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G08 gripper primary；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g08_s05,rcv2_g08,1,20260824_111315,20260824_111315,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G08 gripper repeat；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g09_s03,rcv2_g09,1,20260824_111655,20260824_111655,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G09 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g10_s03,rcv2_g10,1,20260824_113016,20260824_113016,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G10 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g11_s03,rcv2_g11,1,20260824_150526,20260824_150526,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G11 gripper primary；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g11_s05,rcv2_g11,1,20260824_150810,20260824_150810,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G11 gripper repeat；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g12_s03,rcv2_g12,1,20260824_151235,20260824_151235,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G12 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g13_s03,rcv2_g13,1,20260824_152217,20260824_152217,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G13 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g14_s03,rcv2_g14,1,20260824_152701,20260824_152701,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G14 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g14_s05,rcv2_g14,1,20260824_153036,20260824_153036,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G14 gripper repeat；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g15_s03,rcv2_g15,1,20260824_153650,20260824_153650,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G15 gripper timing；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
evidencemm_day25_gripper_collection_record_v1,rcv2_g02_s05,rcv2_g02,1,20260824_153858,20260824_153858,episode_recorder_v7,true,true,,false,true,true,true,true,late,30,40,mm,upward_progress_after_nominal_close_point_before_close,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G02 gripper repeat；方块保持nominal；正常闭合点保持夹爪打开；沿nominal clean抬升约30-40mm后闭合；无第二干预；任务失败
