plan_row_id,pair_group_id,episode_id,task_success,technical_valid,duration_seconds,max_tracking_error,recorder_script_version
rcv2_g01_s04,rcv2_g01,20260824_162548,False,True,59.935122,10.9225,episode_recorder_v7
rcv2_g02_s04,rcv2_g02,20260824_162953,False,True,59.934531,11.9813,episode_recorder_v7
rcv2_g03_s04,rcv2_g03,20260824_163454,False,True,59.934383,11.2651,episode_recorder_v7
rcv2_g03_s05,rcv2_g03,20260824_163707,False,True,59.934599,11.313,episode_recorder_v7
rcv2_g04_s04,rcv2_g04,20260824_164039,False,True,59.935032,10.3112,episode_recorder_v7
rcv2_g05_s04,rcv2_g05,20260824_165347,False,True,59.935223,9.7653,episode_recorder_v7
rcv2_g06_s04,rcv2_g06,20260824_165648,False,True,59.934184,11.2887,episode_recorder_v7
rcv2_g06_s05,rcv2_g06,20260824_165855,False,True,59.93446,10.6922,episode_recorder_v7
rcv2_g07_s04,rcv2_g07,20260824_170209,False,True,59.933768,10.3863,episode_recorder_v7
rcv2_g08_s04,rcv2_g08,20260824_170404,False,True,59.934175,10.9927,episode_recorder_v7
rcv2_g09_s04,rcv2_g09,20260824_170612,False,True,59.935367,11.7618,episode_recorder_v7
rcv2_g09_s05,rcv2_g09,20260824_170808,False,True,59.933646,11.5904,episode_recorder_v7
rcv2_g10_s04,rcv2_g10,20260824_171949,False,True,59.933499,9.9899,episode_recorder_v7
rcv2_g11_s04,rcv2_g11,20260824_172151,False,True,59.933861,11.5173,episode_recorder_v7
rcv2_g12_s04,rcv2_g12,20260824_172840,False,True,59.933463,10.5081,episode_recorder_v7
rcv2_g12_s05,rcv2_g12,20260824_173210,False,True,59.932549,10.9951,episode_recorder_v7
rcv2_g13_s04,rcv2_g13,20260824_173439,False,True,59.933357,11.531,episode_recorder_v7
rcv2_g14_s04,rcv2_g14,20260824_173656,False,True,59.935423,10.8499,episode_recorder_v7
rcv2_g15_s04,rcv2_g15,20260824_173930,False,True,59.931414,11.067,episode_recorder_v7
rcv2_g15_s05,rcv2_g15,20260824_174135,False,True,59.932582,11.0876,episode_recorder_v7
