schema_version,day26_sequence,plan_row_id,pair_group_id,day22_slot_index,slot_role,planned_physical_cause,planned_intervention_type,repeat_slot,expected_task_outcome,parameter_direction,parameter_min,parameter_max,parameter_unit,operational_measurement,clean_anchor_plan_row_id,collection_status
evidencemm_day26_trajectory_collection_plan_v1,1,rcv2_g01_s04,rcv2_g01,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g01_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,2,rcv2_g02_s04,rcv2_g02,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g02_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,3,rcv2_g03_s04,rcv2_g03,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g03_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,4,rcv2_g03_s05,rcv2_g03,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,true,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g03_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,5,rcv2_g04_s04,rcv2_g04,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g04_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,6,rcv2_g05_s04,rcv2_g05,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g05_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,7,rcv2_g06_s04,rcv2_g06,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g06_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,8,rcv2_g06_s05,rcv2_g06,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,true,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g06_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,9,rcv2_g07_s04,rcv2_g07,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g07_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,10,rcv2_g08_s04,rcv2_g08,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g08_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,11,rcv2_g09_s04,rcv2_g09,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g09_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,12,rcv2_g09_s05,rcv2_g09,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,true,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g09_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,13,rcv2_g10_s04,rcv2_g10,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g10_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,14,rcv2_g11_s04,rcv2_g11,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g11_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,15,rcv2_g12_s04,rcv2_g12,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g12_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,16,rcv2_g12_s05,rcv2_g12,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,true,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g12_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,17,rcv2_g13_s04,rcv2_g13,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g13_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,18,rcv2_g14_s04,rcv2_g14,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g14_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,19,rcv2_g15_s04,rcv2_g15,4,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,false,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g15_s01,pending
evidencemm_day26_trajectory_collection_plan_v1,20,rcv2_g15_s05,rcv2_g15,5,controlled_cause,trajectory_execution_deviation,manual_bounded_trajectory_deviation,true,failure,follower_forward,40,60,mm,marked_lateral_waypoint_offset,rcv2_g15_s01,pending
