schema_version,plan_row_id,pair_group_id,attempt_index,episode_id,raw_episode_relpath,recorder_script_version,technical_valid,recorder_overall_pass,failed_checks,task_success,intervention_applied,single_primary_intervention,changed_factor_observable,deviation_proxy_met,parameter_direction,parameter_min,parameter_max,parameter_unit,operational_measurement,scene_setup_id,object_identity,nominal_start_condition,camera_setup,acquisition_configuration,safety_abort,hardware_fault,experimental_valid,selected_canonical,exclusion_reason,operator_notes
evidencemm_day26_trajectory_collection_record_v1,rcv2_g01_s04,rcv2_g01,1,20260824_162548,20260824_162548,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G01 trajectory；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g02_s04,rcv2_g02,1,20260824_162953,20260824_162953,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G02 trajectory；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g03_s04,rcv2_g03,1,20260824_163454,20260824_163454,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G03 trajectory；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g03_s05,rcv2_g03,1,20260824_163707,20260824_163707,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G03 trajectory repeat；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g04_s04,rcv2_g04,1,20260824_164039,20260824_164039,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G04 trajectory；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g05_s04,rcv2_g05,1,20260824_165347,20260824_165347,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G05 trajectory；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g06_s04,rcv2_g06,1,20260824_165648,20260824_165648,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G06 trajectory；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g06_s05,rcv2_g06,1,20260824_165855,20260824_165855,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G06 trajectory repeat；方块保持nominal；正常接近至方块上方后末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g07_s04,rcv2_g07,1,20260824_170209,20260824_170209,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G07 trajectory；方块保持nominal；末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
evidencemm_day26_trajectory_collection_record_v1,rcv2_g08_s04,rcv2_g08,1,20260824_170404,20260824_170404,episode_recorder_v7,true,true,,false,true,true,true,true,follower_forward,40,60,mm,marked_lateral_waypoint_offset,red_cube_fixed_target_scene_v1,red_cube_no_emboss_v1,nominal_start_marker_v1,front_wrist_v1,so101_recorder_v7_60s_15hz_v1,false,false,true,true,,G08 trajectory；方块保持nominal；末端沿Follower正前方偏移约40-60mm并保持偏移下降；夹爪保持clean正常时序；无第二干预；未补偿回抓；任务失败
