schema_version,day27_sequence,plan_row_id,pair_group_id,day22_slot_index,slot_role,planned_physical_cause,planned_intervention_type,repeat_slot,expected_task_outcome,ambiguity_protocol,clean_anchor_plan_row_id,collection_status
evidencemm_day27_insufficient_evidence_collection_plan_v2,1,rcv2_g01_s06,rcv2_g01,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:target_mild_20mm_forward,rcv2_g01_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,2,rcv2_g02_s06,rcv2_g02,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:gripper_late_30_40mm_upward_progress,rcv2_g02_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,3,rcv2_g03_s06,rcv2_g03,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:trajectory_mild_25mm_forward,rcv2_g03_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,4,rcv2_g04_s06,rcv2_g04,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:target_mild_20mm_forward,rcv2_g04_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,5,rcv2_g05_s06,rcv2_g05,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:gripper_late_30_40mm_upward_progress,rcv2_g05_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,6,rcv2_g06_s06,rcv2_g06,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:trajectory_mild_25mm_forward,rcv2_g06_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,7,rcv2_g07_s06,rcv2_g07,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:target_mild_20mm_forward,rcv2_g07_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,8,rcv2_g08_s06,rcv2_g08,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:gripper_late_30_40mm_upward_progress,rcv2_g08_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,9,rcv2_g09_s06,rcv2_g09,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:trajectory_mild_25mm_forward,rcv2_g09_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,10,rcv2_g10_s06,rcv2_g10,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:target_mild_20mm_forward,rcv2_g10_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,11,rcv2_g11_s06,rcv2_g11,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:gripper_late_30_40mm_upward_progress,rcv2_g11_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,12,rcv2_g12_s06,rcv2_g12,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:trajectory_mild_25mm_forward,rcv2_g12_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,13,rcv2_g13_s06,rcv2_g13,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:target_mild_20mm_forward,rcv2_g13_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,14,rcv2_g14_s06,rcv2_g14,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:gripper_late_30_40mm_upward_progress,rcv2_g14_s01,pending
evidencemm_day27_insufficient_evidence_collection_plan_v2,15,rcv2_g15_s06,rcv2_g15,6,insufficient_evidence_candidate,unknown,ambiguity_protocol,false,failure,blinded_single_cause_challenge_v2:trajectory_mild_25mm_forward,rcv2_g15_s01,pending
