metric,value
status,complete
registered_attempt_count,92
registered_canonical_count,90
registered_noncanonical_count,2
registered_experimental_exclusion_count,2
fresh_technical_pass_count,92
raw_root_directory_count,93
anonymous_technical_exclusion_count,1
registered_raw_set_sha256,5ec4c38b8c4653781b77b9237951fbfb330541cbd7d607159fcf52e90c621a81
anonymous_technical_exclusion_tree_sha256,ecec47d923656166e26fbd5e46c0c3b54c91702cdc55142e917137fac4175191
raw_root_content_set_sha256,ab3c4958f7785e531d72ab2c6b84874962640dd7d42f539c7e114b1ba61e5db0
raw_attempt_retention_completeness_asserted,true
eligible_target_episode_count,90
ground_truth_materialized_on_day28,false
answerability_prejudged_on_day28,false
future_split_materialized,false
